spider-37-140-141-6.yandex.com - - [23/Sep/2013:10:00:02 +0200] "GET /avsnitt/sr-p3-dokumentar/hormoslyret.htm HTTP/1.1" 200 37090 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
h-45-68.a328.priv.bahnhof.se - - [23/Sep/2013:10:01:31 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19710 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36"
h-45-68.a328.priv.bahnhof.se - - [23/Sep/2013:10:01:31 +0200] "GET /atmycasa/mejladress.jpg HTTP/1.1" 200 17337 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36"
h-45-68.a328.priv.bahnhof.se - - [23/Sep/2013:10:01:31 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 200 18596 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36"
85-76-104-21-nat.elisa-mobile.fi - - [23/Sep/2013:10:02:45 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19710 "http://atmycasa.blogspot.fi/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
85-76-104-21-nat.elisa-mobile.fi - - [23/Sep/2013:10:02:45 +0200] "GET /atmycasa/mejladress.jpg HTTP/1.1" 200 17337 "http://atmycasa.blogspot.fi/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
85-76-104-21-nat.elisa-mobile.fi - - [23/Sep/2013:10:02:45 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 200 18596 "http://atmycasa.blogspot.fi/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
194-16-56-235.customer.telia.com - - [23/Sep/2013:10:03:34 +0200] "GET /atmycasa/mejladress.jpg HTTP/1.1" 304 175 "http://atmycasa.blogspot.se/search?updated-max=2013-09-18T16:41:00%2B02:00&max-results=3&start=3&by-date=false" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; InfoPath.2)"
194-16-56-235.customer.telia.com - - [23/Sep/2013:10:03:34 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 304 175 "http://atmycasa.blogspot.se/search?updated-max=2013-09-18T16:41:00%2B02:00&max-results=3&start=3&by-date=false" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; InfoPath.2)"
194-16-56-235.customer.telia.com - - [23/Sep/2013:10:03:34 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 304 174 "http://atmycasa.blogspot.se/search?updated-max=2013-09-18T16:41:00%2B02:00&max-results=3&start=3&by-date=false" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; InfoPath.2)"
92-63-32-181.ip.mgk.pl - - [23/Sep/2013:10:04:47 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19710 "http://atmycasa.blogspot.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)"
